,url,title,author,num_reviews,num_ratings,avg_ratings,original_publish_year,series,genres,awards,num_pages,award_number,mean_norm_ratings,min_max
600,https://www.goodreads.com/book/show/55525261-in-our-bones,Ella Enchanted,Gail Carson Levine,10538,397690,3.98,1997,True,"['Fantasy', 'Young Adult', 'Fiction']","['Newbery Medal Nominee (1998)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (1999)"", 'Grand Canyon Reader Award for Teen Book (1999)', 'Maryland Black-Eyed Susan Book Award for Grade 6-9 (2000)', ""Dorothy Canfield Fisher Children's Book Award (1999)"", 'Iowa Teen Award (2000)', 'California Young Readers Medal for Middle School/Junior High (2000)', ""Rebecca Caudill Young Readers' Book Award (2000)""]",232,8,-0.06,5.18
601,https://www.goodreads.com/book/show/24337.Ella_Enchanted,Unwind,Neal Shusterman,19136,202190,4.16,0,True,"['Young Adult', 'Science Fiction', 'Dystopia']","['Rhode Island Teen Book Award Nominee (2010)', 'Evergreen Teen Book Award (2010)', 'Sakura Medal for Middle School Book (2009)', 'Florida Teens Read Nominee (2009)', 'Eliot Rosewater Indiana High School Book Award (2010)', 'California Young Readers Medal Nominee for Young Adult (2011)', 'Gouden Lijst Nominee (2013)', 'Green Mountain Book Award (2010)', 'Missouri Gateway Readers Award Nominee (2010)', 'Oklahoma Sequoyah Award for Intermediate (2010)']",337,10,0.05,6.24
602,https://www.goodreads.com/book/show/764347.Unwind,"Girl, Interrupted",Susanna Kaysen,4864,187615,3.9,1993,False,"['Nonfiction', 'Autobiography', 'Memoir']",[],169,1,-0.12,4.71
603,https://www.goodreads.com/book/show/3591262-cutting-for-stone,Cutting for Stone,Abraham   Verghese,25912,345360,4.29,2009,False,"['Fiction', 'Historical', 'Historical Fiction']","['PEN/Hemingway Foundation Award Nominee (2010)', 'Exclusive Books Boeke Prize Nominee (2011)', 'Indies Choice Book Award for Adult Fiction (2010)', 'Dayton Literary Peace Prize Nominee for Fiction (2010)', 'Wellcome Book Prize Nominee for Shortlist (2009)', 'Goodreads Choice Award Nominee for Fiction (2009)']",541,6,0.14,7.0
604,https://www.goodreads.com/book/show/68783.Girl_Interrupted,Betrayal of Faith,Mark M. Bello,59,6867,4.31,0,True,"['Contemporary', 'Fiction', 'Drama']",[],496,1,0.15,7.12
605,https://www.goodreads.com/book/show/35879147-betrayal-of-faith,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,7951,204919,3.9,1995,False,"['Nonfiction', 'Biography', 'Autobiography']","['British Book Award for The Best Biography (2009)', 'Grammy Award for Best Spoken Word Album (2006)']",453,2,-0.12,4.71
606,https://www.goodreads.com/book/show/88061.Dreams_from_My_Father,The Titan's Curse,Rick Riordan,22821,739377,4.34,0,True,"['Fantasy', 'Young Adult', 'Fantasy']",['Premio El Templo de las Mil Puertas Nominee for Mejor novela extranjera perteneciente a saga (2009)'],320,1,0.17,7.29
607,https://www.goodreads.com/book/show/17061.Coraline,Coraline,Neil Gaiman,22695,517782,4.05,2002,False,"['Fantasy', 'Horror', 'Fiction']","['Bram Stoker Award for Best Work for Young Readers (2002)', 'Hugo Award for Best Novella (2003)', 'Nebula Award for Best Novella (2003)', 'Locus Award for Best Young Adult Novel (2003)', 'World Fantasy Award Nominee for Best Novella (2003)', ""Mythopoeic Fantasy Award Nominee for Children's Literature (2003)"", ""Dorothy Canfield Fisher Children's Book Award Nominee (2004)"", 'Child Magazine Best Book of the Year', 'Will Eisner Comic Industry Awards for Best Publication for Teens/Tweens (2009)', 'Elizabeth Burr / Worzalla Award (2003)', 'Premi Protagonista Jove Nominee for Categoria 13-14 anys (2004)']",162,11,-0.02,5.59
608,https://www.goodreads.com/book/show/561456.The_Titan_s_Curse,The Hours,Michael Cunningham,5243,127434,3.94,1998,False,"['Fiction', 'Historical', 'Historical Fiction']","['Pulitzer Prize for Fiction (1999)', 'Stonewall Book Award for Literature (1999)', 'PEN/Faulkner Award for Fiction (1999)', 'Ferro-Grumley Award for Gay Fiction (1999)', 'National Book Critics Circle Award Nominee for Fiction (1998)', 'Premio Grinzane Cavour for Narrativa Straniera (2000)', 'International Dublin Literary Award Nominee for Shortlist (2000)']",230,7,-0.09,4.94
609,https://www.goodreads.com/book/show/11899.The_Hours,Hyperion,Dan Simmons,8723,198903,4.23,1989,True,"['Science Fiction', 'Fiction', 'Fantasy']","['Hugo Award for Best Novel (1990)', 'Locus Award for Best Science Fiction Novel (1990)', 'Arthur C. Clarke Award Nominee (1992)', 'British Science Fiction Association Award Nominee for Best Novel (1992)', 'Premio Ignotus for Novela (1991)', 'SF Chronicle Award Nominee for Best Novel (1990)', 'Tähtivaeltaja Award (1998)', 'Chesley Award Nominee for Hardback cover (2013)', 'Prix Cosmos 2000 (1992)', 'Seiun Award 星雲賞 for Best Foreign Novel (1995)']",482,10,0.1,6.65
610,https://www.goodreads.com/book/show/77566.Hyperion,Travels with Charley: In Search of America,John Steinbeck,5491,76722,4.05,1962,False,"['Nonfiction', 'Travel', 'Classics']",['Long Island Reads (2005)'],214,1,-0.02,5.59
611,https://www.goodreads.com/book/show/5306.Travels_with_Charley,Steve Jobs,Walter Isaacson,19001,1015336,4.14,2011,False,"['Biography', 'Nonfiction', 'Business']","['Financial Times and McKinsey Business Book of the Year Nominee for Shortlist (2012)', 'Goodreads Choice Award for History & Biography (2011)', 'Premio Know Square (2011)']",627,3,0.04,6.12
612,https://www.goodreads.com/book/show/11084145-steve-jobs,Moloka'i,Alan Brennert,10124,113148,4.16,2003,True,"['Historical', 'Historical Fiction', 'Fiction']",['One Book One San Diego (2012)'],405,1,0.05,6.24
613,https://www.goodreads.com/book/show/3273.Moloka_i,The Time Trilogy,Madeleine L'Engle,296,6740,4.36,1963,True,"['Fantasy', 'Fiction', 'Classics']",[],710,1,0.19,7.41
614,https://www.goodreads.com/book/show/11841.The_Time_Trilogy,Seabiscuit: An American Legend,Laura Hillenbrand,4483,152276,4.2,1999,False,"['Nonfiction', 'History', 'Biography']","['Book Sense Book of the Year Award for Adult Nonfiction (2002)', 'William Hill Sports Book of the Year (2001)', 'Puddly Award for Nonfiction (2004)', 'National Book Critics Circle Award Nominee for General Nonfiction (2001)']",457,4,0.08,6.47
