,1st Pub,Author,Awards,Genres,Link,N pag,Rating Count,Rating Value,Review Count,Title,series
24,1960,Dr. Seuss,[],"['Childrens', 'Childrens', 'Picture Books']",https://www.goodreads.com/book/show/23772.Green_Eggs_and_Ham,64,651996,4.29,9784,Green Eggs and Ham,0
25,1953,Ray Bradbury,"['Prometheus Hall of Fame Award (1984)', 'Geffen Award for Best Translated SF Book (2002)', 'California Book Award for Fiction (Silver) (1953)', 'Retro Hugo Award for Best Novel (2004)']","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/13079982-fahrenheit-451,194,1785513,3.99,51213,Fahrenheit 451,0
26,1999,J.K. Rowling,"['Bram Stoker Award for Best Work for Young Readers (1999)', 'Hugo Award Nominee for Best Novel (2000)', 'Locus Award for Best Fantasy Novel (2000)', ""Whitbread Award for Children's Book of the Year (1999)"", ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Books I Loved Best Yearly (BILBY) Awards for Older Readers (2005)', 'Colorado Blue Spruce Young Adult Book Award (2004)', 'Maine Student Book Award (2001)', 'Golden Archer Award for Intermediate (2001)', 'Indian Paintbrush Book Award (2004)', 'Soaring Eagle Book Award (2002)', 'Hotze de Roosprijs (2001)', 'Nestlé Smarties Book Prize for 9–11 years (1999)']","['Fantasy', 'Young Adult', 'Fiction']",https://www.goodreads.com/book/show/5.Harry_Potter_and_the_Prisoner_of_Azkaban,435,3005075,4.57,59275,Harry Potter and the Prisoner of Azkaban,1
27,1871,Lewis Carroll,[],"['Classics', 'Fantasy', 'Fiction']",https://www.goodreads.com/book/show/24213.Alice_s_Adventures_in_Wonderland_Through_the_Looking_Glass,239,479330,4.06,11212,Alice's Adventures in Wonderland / Through the Looking-Glass,1
28,1847,Emily Brontë,[],"['Classics', 'Fiction', 'Romance']",https://www.goodreads.com/book/show/6185.Wuthering_Heights,464,1409083,3.87,40219,Wuthering Heights,0
29,1936,Margaret Mitchell,"['Pulitzer Prize for Novel (1937)', 'National Book Award for Novel (1936)']","['Classics', 'Historical', 'Historical Fiction']",https://www.goodreads.com/book/show/18405.Gone_with_the_Wind,1037,1102735,4.30,20502,Gone with the Wind,0
30,1890,Oscar Wilde,[],"['Classics', 'Fiction', 'Horror']",https://www.goodreads.com/book/show/1617.Night,272,1033811,4.09,34178,The Picture of Dorian Gray,0
31,1956,Elie Wiesel,[],"['Nonfiction', 'Classics', 'History']",https://www.goodreads.com/book/show/5297.The_Picture_of_Dorian_Gray,115,1015527,4.34,30294,Night,1
32,2000,J.K. Rowling,"['Hugo Award for Best Novel (2001)', ""Mythopoeic Fantasy Award for Children's Literature (2008)"", 'Publieksprijs voor het Nederlandse Boek (2001)', 'Audie Award for Solo Narration - Male (2001)', ""West Australian Young Readers' Book Award (WAYRBA) for Younger Readers (2001)"", 'Golden Archer Award for Middle/Junior High (2002)', 'Indian Paintbrush Book Award (2002)', 'Deutscher Bücherpreis for Publikumspreis', 'Corine Internationaler Buchpreis for Kinder- und Jugendbuch (2001)']","['Fantasy', 'Young Adult', 'Fiction']",https://www.goodreads.com/book/show/1923820.Holy_Bible,734,2750342,4.56,49590,Harry Potter and the Goblet of Fire,1
33,1611,Anonymous,[],"['Religion', 'Classics', 'Nonfiction']",https://www.goodreads.com/book/show/6.Harry_Potter_and_the_Goblet_of_Fire,1590,229649,4.41,5771,Holy Bible: King James Version,0
34,1979,Douglas Adams,[],"['Science Fiction', 'Fiction', 'Humor']",https://www.goodreads.com/book/show/386162.The_Hitchhiker_s_Guide_to_the_Galaxy,193,1511514,4.22,32026,The Hitchhiker's Guide to the Galaxy,1
35,1603,William Shakespeare,['Grammy Award Nominee for Best Spoken Word Album (2012)'],"['Classics', 'Plays', 'Fiction']",https://www.goodreads.com/book/show/1420.Hamlet,289,763086,4.03,13707,Hamlet,0
36,,J.R.R. Tolkien,[],"['Fantasy', 'Writing', 'Essays']",https://www.goodreads.com/book/show/1362112.Tolkien_on_Fairy_stories,320,2893,4.30,140,Tolkien on Fairy-stories,0
37,1884,Mark Twain,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/2956.The_Adventures_of_Huckleberry_Finn,327,1175379,3.82,16150,The Adventures of Huckleberry Finn,1
38,1949,George Orwell,"['Prometheus Hall of Fame Award (1984)', 'Locus Award Nominee for All-Time Best Science Fiction Novel (1987)']","['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/1.Harry_Potter_and_the_Half_Blood_Prince,237,3363247,4.19,76011,1984,0
39,2005,J.K. Rowling,"['Locus Award Nominee for Best Young Adult Novel (2006)', 'Audie Award for Audiobook of the Year (2006)', 'British Book of the Year (2006)']","['Fantasy', 'Young Adult', 'Fiction']",https://www.goodreads.com/book/show/40961427-1984,652,2575755,4.57,42026,Harry Potter and the Half-Blood Prince,1
40,1958,Aldous Huxley,[],"['Classics', 'Fiction', 'Science Fiction']",https://www.goodreads.com/book/show/24280.Les_Mis_rables,340,145805,4.17,1550,Brave New World / Brave New World Revisited,0
41,1862,Victor Hugo,[],"['Classics', 'Fiction', 'Historical']",https://www.goodreads.com/book/show/5479.Brave_New_World_Brave_New_World_Revisited,1463,702844,4.18,18265,Les Misérables,0
42,1988,Paulo Coelho,"['NBDB National Book Award Nominee for Translation (2015)', 'Grand Prix des lectrices de Elle for roman (1995)', 'Premio Grinzane Cavour for Narrativa Straniera (1996)', 'Corine Internationaler Buchpreis for Belletristik (2002)']","['Fiction', 'Classics', 'Fantasy']",https://www.goodreads.com/book/show/18144590-the-alchemist,182,2244941,3.88,85788,The Alchemist,0
43,1866,Fyodor Dostoyevsky,[],"['Classics', 'Fiction', 'Cultural']",https://www.goodreads.com/book/show/7144.Crime_and_Punishment,671,666023,4.23,21030,Crime and Punishment,0
